YbP2(HO3)3,1,orthorhombic
Na2LaSiO5,0,orthorhombic
KMo4AsO15,1,orthorhombic
Cs2TiP4O13,1,triclinic
Sm3Al2(Ni2H3)3,0,cubic
CrPt(NCl)5,0,orthorhombic
MgB6(H3O4)4,1,monoclinic
Ba2YbPaO6,0,cubic
Sr2ErUO6,1,cubic
Y2Hf2(MoO4)7,1,monoclinic
ZnCu2PO9,1,monoclinic
UMo2H2O9,1,monoclinic
Tl3Cr2(PS4)3,1,monoclinic
SrLiVF6,1,trigonal
RbYbZnTe3,0,orthorhombic
RuN7ClO6,0,tetragonal
SbC2N2F5,1,orthorhombic
Rb2Sr(PO3)4,1,tetragonal
RbP4(WO4)8,0,monoclinic
Rb2TiSi3O10,1,orthorhombic
PrN(ClO)4,0,orthorhombic
Rb2Mg2(MoO4)3,1,cubic
NaCo(PO3)3,0,cubic
Na2H(CO2)2,1,orthorhombic
NaIn(C2O5)2,0,hexagonal
Lu2Be2SiO7,1,tetragonal
MnH4NF3,1,orthorhombic
NbNi11(BO5)4,0,monoclinic
Mn2S3(NO6)2,0,cubic
LiSc(WO4)2,1,monoclinic
LiNd(MoO4)2,1,monoclinic
KSc(WO4)2,1,monoclinic
K4Co(MoO4)3,1,triclinic
Mg5Pb(SO4)6,1,trigonal
InAg3(CN)6,1,trigonal
GeC2(NF)6,1,monoclinic
NaV4Bi13O30,1,monoclinic
Er2Be2SiO7,1,tetragonal
Er2Sn3(PbS4)3,1,orthorhombic
CsYb(WO4)2,0,monoclinic
FeH7SO8,1,triclinic
CsY(WO4)2,1,monoclinic
K2Be3Co2F12,1,cubic
CsYMnSe3,1,orthorhombic
CsLa6FeI10,1,orthorhombic
Cs2Mg2(MoO4)3,1,cubic
Cr5Cu2(PO4)6,0,triclinic
Ce2FeP2O,0,tetragonal
CeTl(PO3)4,1,monoclinic
Ca2Bi3(PO4)3,0,hexagonal
Ce2Ta3(SeO4)2,0,orthorhombic
BrN2O5F3,1,monoclinic
Ba4Li(BiO4)3,1,cubic
Ba4Dy(CuO3)3,0,cubic
Ba5Cr3O12F,1,hexagonal
Al3Co(PO4)4,1,monoclinic
ZrTiCN,0,trigonal
Zr6Al7Cu16H3,0,orthorhombic
YbMnCuP2,0,trigonal
Zn3Cr12(GaSe12)2,0,tetragonal
VSb(SeO3)4,1,monoclinic
VFeSbO6,1,tetragonal
Zn7Cu8(MoO4)12,0,triclinic
Tl2FeCu3Te4,0,orthorhombic
TiVCN,0,trigonal
TlP(HO2)2,1,monoclinic
Tb2Mn3Sb3O14,1,monoclinic
SrSmScO4,1,orthorhombic
Sr4FeRuO8,0,orthorhombic
SrCa3Mn2O8,0,tetragonal
Sr3TaCoO7,1,tetragonal
Sr7Mg8(P4O15)3,1,monoclinic
Sn5Ge2(SbTe5)2,1,trigonal
Sm6Cd(GeS7)2,1,trigonal
K2Zn2(MoO4)3,1,monoclinic
Rb2Mo(OF2)2,1,monoclinic
Nb6V2(CS2)3,0,monoclinic
Nd2Ga3(Fe7C)2,0,monoclinic
NaAlSi3O8,1,monoclinic
